TIME,year,month,T#AT#chicken,T#BE#chicken,T#BG#chicken,T#CZ#chicken,T#FR#chicken,T#HR#chicken,T#HU#chicken,T#IT#chicken,T#MT#chicken,T#PL#chicken,T#PT#chicken,T#RO#chicken,T#SE#chicken,T#SI#chicken,T#SK#chicken
2021-02-08,2021,2,715.6,,304.1,,,,,,370.71,268.71,,,,437.16,
2021-02-15,2021,2,716.45,345.93,311.53,,562.86,487.34,308.45,483.43,370.54,273.37,366.43,,744.72,431.82,375.28
2021-02-22,2021,2,716.1,350.88,312.95,,564.29,477.99,307.54,474.43,376.5,275.01,367.14,,739.27,432.79,377.46
2021-03-01,2021,3,711.73,352.44,312.38,,567.14,475.63,308.65,469.43,382.46,278.72,367.86,,740.6,443.12,375.23
2021-03-08,2021,3,711.59,353.51,312.05,,570.0,473.81,309.7,465.0,388.43,279.78,369.71,258.07,745.0,442.65,377.78
2021-03-15,2021,3,717.67,358.93,311.1,,572.86,475.44,310.88,464.43,394.57,281.76,371.57,261.34,745.2,439.22,377.69
2021-03-22,2021,3,720.99,360.64,312.71,,575.71,481.0,310.7,465.86,400.71,283.27,373.43,262.96,743.07,432.68,376.67
2021-03-29,2021,3,724.36,360.34,311.69,396.1,577.14,474.73,311.08,467.86,404.75,286.04,374.57,264.31,748.67,429.83,376.1
2021-04-05,2021,4,730.39,358.24,313.03,396.52,578.57,478.96,314.28,469.71,408.79,288.59,375.71,265.56,748.45,438.13,375.02
2021-04-12,2021,4,735.4,356.91,313.5,398.3,580.0,486.34,315.1,472.29,406.68,291.76,377.14,268.28,748.64,445.34,375.35
2021-04-19,2021,4,744.27,357.44,315.17,398.79,580.0,486.38,317.53,475.86,404.57,294.74,378.57,271.88,751.99,436.07,374.71
2021-04-26,2021,4,747.3,358.62,317.13,398.95,580.0,487.73,319.93,480.29,402.46,298.99,378.86,273.66,755.91,436.31,372.94
2021-05-03,2021,5,747.84,359.65,318.82,400.18,580.0,488.59,320.4,484.29,400.61,304.43,379.14,274.95,754.59,439.02,373.4
2021-05-10,2021,5,750.91,360.09,318.71,403.26,580.0,484.91,322.79,488.29,398.75,311.16,379.43,277.27,755.41,443.15,373.52
2021-05-17,2021,5,751.25,361.7,319.82,403.73,580.0,492.49,325.71,492.29,399.0,317.37,379.71,279.33,750.42,440.35,371.66
2021-05-24,2021,5,747.87,365.32,319.48,404.01,580.0,492.56,328.18,498.43,401.63,323.4,380.0,281.51,752.65,444.76,371.25
2021-05-31,2021,5,743.21,367.65,317.55,406.42,580.0,488.23,331.64,505.0,404.26,329.41,380.0,265.35,755.01,442.55,371.09
2021-06-07,2021,6,737.13,369.82,316.67,409.08,580.0,493.02,335.32,512.29,406.89,335.11,380.71,266.16,755.86,438.7,374.12
2021-06-14,2021,6,735.71,370.35,315.2,410.79,580.0,494.06,338.18,518.14,409.53,339.75,381.43,267.88,753.16,439.38,375.97
2021-06-21,2021,6,733.67,370.08,312.12,412.75,580.0,494.77,341.93,523.0,411.91,343.14,382.14,270.26,758.94,441.18,376.12
2021-06-28,2021,6,731.83,369.79,311.8,414.79,580.0,501.16,345.21,527.86,412.38,347.13,382.57,271.93,764.62,446.91,376.52
2021-07-05,2021,7,732.21,370.96,307.43,416.64,580.0,505.46,348.57,533.57,412.86,350.0,383.0,273.97,,455.69,378.94
2021-07-12,2021,7,734.46,370.68,307.72,419.01,580.0,513.93,349.85,538.14,410.95,351.42,383.29,274.95,772.21,450.26,378.42
2021-07-19,2021,7,736.53,370.21,310.13,417.42,580.0,520.0,352.48,543.29,409.05,349.67,383.64,296.17,779.14,447.88,377.57
2021-07-26,2021,7,739.44,369.4,311.56,418.05,580.0,516.59,353.36,546.71,408.33,351.38,383.29,299.44,782.74,452.31,377.49
2021-08-02,2021,8,741.8,368.36,314.46,419.14,580.0,523.74,353.78,550.14,407.62,351.99,382.93,302.51,784.41,455.84,378.36
2021-08-09,2021,8,744.08,367.15,318.59,418.92,580.0,527.77,355.09,553.57,406.9,350.73,382.93,303.64,787.95,456.34,378.76
2021-08-16,2021,8,746.49,366.55,319.93,418.52,580.0,529.46,357.54,557.0,408.1,347.05,383.21,304.83,790.82,452.69,377.93
2021-08-23,2021,8,749.63,365.15,326.83,418.31,580.0,528.13,358.29,559.0,409.29,343.48,383.5,304.05,792.63,449.45,377.42
2021-08-30,2021,8,750.37,363.07,328.83,417.38,580.0,523.37,358.34,560.0,411.91,339.97,383.93,305.86,795.94,446.4,378.81
2021-09-06,2021,9,751.78,361.81,330.72,418.2,580.0,521.99,357.5,560.0,414.53,339.13,384.29,305.83,795.52,450.9,379.77
2021-09-13,2021,9,753.51,359.3,332.91,418.09,580.0,525.44,357.52,560.0,415.96,331.55,384.64,305.74,794.57,452.88,380.04
2021-09-20,2021,9,755.06,358.12,333.98,417.6,580.0,519.19,356.84,560.0,417.38,327.1,385.0,305.33,800.87,447.48,379.8
2021-09-27,2021,9,754.16,353.88,334.82,415.56,580.0,517.43,354.84,560.0,418.81,323.36,385.0,305.02,799.14,443.61,379.9
2021-10-04,2021,10,752.32,349.07,336.06,414.79,580.0,518.02,351.0,560.0,420.24,321.18,385.71,306.02,795.84,441.77,379.72
2021-10-11,2021,10,752.14,346.83,337.07,414.74,580.0,512.7,348.0,560.0,421.67,318.38,386.79,307.62,793.17,448.42,379.32
2021-10-18,2021,10,751.1,347.25,338.11,414.1,580.0,514.82,345.54,560.0,421.67,315.05,387.86,306.62,788.73,455.25,378.57
2021-10-25,2021,10,750.54,344.92,337.69,413.02,580.0,518.87,343.16,560.14,421.67,312.34,388.93,304.23,790.46,447.75,380.28
2021-11-01,2021,11,749.01,343.42,336.95,413.17,580.0,516.92,342.06,,425.24,313.97,390.0,302.06,796.51,446.44,383.07
2021-11-08,2021,11,746.05,342.27,335.97,412.98,580.0,520.17,341.27,,428.81,314.1,391.07,300.85,790.4,447.21,
2021-11-15,2021,11,748.32,346.72,336.51,414.78,580.0,523.82,341.78,,432.38,314.5,392.21,300.92,789.47,455.28,
2021-11-22,2021,11,749.88,349.59,337.05,414.41,580.0,524.38,341.23,,435.96,318.2,392.64,299.82,786.44,451.8,393.28
2021-11-29,2021,11,749.75,350.29,336.17,414.45,580.0,524.84,341.24,566.14,440.0,321.24,392.71,298.2,782.57,445.78,393.1
2021-12-06,2021,12,751.92,351.55,337.03,416.02,580.0,524.46,342.12,568.71,444.05,325.67,392.79,296.72,783.52,437.75,393.91
2021-12-13,2021,12,758.01,355.27,337.67,417.36,580.0,524.14,343.03,572.14,448.1,329.73,392.86,,779.05,427.57,392.79
2021-12-20,2021,12,,360.21,337.43,417.06,580.0,526.13,343.53,575.14,448.57,332.54,395.07,279.95,780.08,426.84,389.73
2021-12-27,2021,12,,364.27,,417.48,580.0,526.18,344.24,577.71,450.48,,397.29,281.88,789.95,430.03,390.15
2022-01-03,2022,1,,366.05,,420.25,580.0,528.15,345.41,584.71,452.38,,399.43,283.49,798.47,428.46,392.0
2022-01-10,2022,1,,370.6,341.31,424.19,580.0,530.28,,593.29,454.29,,401.86,285.65,804.59,435.21,391.02
2022-01-17,2022,1,,376.25,342.85,427.44,580.0,,,602.71,455.71,,404.29,288.52,811.33,435.95,393.93
2022-01-24,2022,1,,378.46,345.19,431.46,580.0,537.23,363.01,611.71,457.14,,406.71,,814.58,440.48,396.66
2022-01-31,2022,1,,382.94,349.01,,580.0,531.61,371.94,619.71,459.52,,409.14,,821.82,454.11,400.73
2022-02-07,2022,2,,386.89,354.0,,580.0,534.16,379.07,627.71,461.91,,409.43,,821.74,463.24,
2022-02-14,2022,2,,390.44,356.43,,580.0,533.38,388.55,635.71,462.86,,409.71,,814.46,466.85,406.32
2022-02-21,2022,2,,398.01,361.75,,580.0,527.24,398.54,640.14,463.81,,410.0,,807.82,465.88,405.11
2022-02-28,2022,2,,401.17,366.82,,580.0,526.95,401.12,644.43,471.91,,410.0,,795.49,466.89,404.88
2022-03-07,2022,3,,405.59,371.52,,580.0,522.26,405.18,649.29,480.0,,411.43,,792.64,471.31,405.76
2022-03-14,2022,3,,414.47,378.23,,,521.8,410.25,656.14,488.1,,416.43,,795.67,481.63,406.32
2022-03-21,2022,3,,422.1,385.4,,,528.05,412.62,663.0,495.24,,,,795.88,488.9,406.79
2022-03-28,2022,3,,435.11,392.53,,,529.28,417.69,669.86,507.15,,,,798.08,484.42,408.41
2022-04-04,2022,4,,448.9,402.28,,,534.43,427.73,677.43,519.05,,444.29,,803.17,486.11,412.38
2022-04-11,2022,4,,458.27,411.57,,,543.68,435.63,684.0,530.95,,454.29,,808.01,490.86,
2022-04-18,2022,4,,472.54,422.02,,617.14,542.74,447.65,689.14,535.72,,465.71,,823.24,507.7,
2022-04-25,2022,4,,484.64,432.03,,625.71,549.89,458.06,691.43,539.52,,475.71,,835.06,519.0,427.67
2022-05-02,2022,5,,493.47,437.63,,635.71,559.94,469.61,690.71,543.33,,482.14,,842.38,519.83,435.21
2022-05-09,2022,5,,499.27,442.43,,644.29,573.13,480.31,690.0,547.14,,489.29,,865.53,527.7,445.21
2022-05-16,2022,5,,498.91,446.78,505.88,651.43,584.69,488.25,689.29,546.19,,494.29,,,537.15,454.49
2022-05-23,2022,5,,497.56,448.4,517.97,657.14,592.38,490.12,686.86,545.24,,500.0,,,541.55,457.6
2022-05-30,2022,5,,497.88,448.87,532.23,662.86,593.81,491.83,684.43,544.28,,505.71,,,550.96,461.83
2022-06-06,2022,6,,496.54,448.59,545.3,668.57,608.2,493.4,682.0,543.33,,510.0,,,552.81,473.73
2022-06-13,2022,6,,495.71,448.6,556.25,674.29,621.57,494.85,680.0,543.33,,514.29,,,549.76,490.37
2022-06-20,2022,6,,493.7,448.3,566.54,677.14,631.8,494.98,679.0,543.33,,518.57,,,552.28,502.7
2022-06-27,2022,6,,492.01,450.16,577.76,680.0,636.6,495.37,677.0,543.33,,519.29,,,551.3,511.39
2022-07-04,2022,7,,490.78,451.98,588.9,680.0,645.15,495.37,673.43,543.33,,521.43,,,558.09,519.72
2022-07-11,2022,7,,491.2,454.31,596.4,680.0,657.81,494.24,670.86,543.33,,522.86,,,564.68,533.38
2022-07-18,2022,7,,491.98,456.5,600.12,680.0,676.06,495.27,668.29,543.33,,524.29,,,566.31,545.63
2022-07-25,2022,7,,490.78,457.53,602.94,680.0,687.89,494.58,664.71,543.33,464.15,525.71,,,562.55,551.54
2022-08-01,2022,8,,488.59,461.9,606.02,680.0,694.15,496.76,661.14,543.33,462.43,527.14,,,569.24,551.41
2022-08-08,2022,8,,486.48,465.84,609.06,680.0,707.22,497.37,657.57,543.33,460.53,528.57,,,574.88,551.91
2022-08-15,2022,8,,488.27,467.34,608.64,680.0,717.23,496.02,655.0,543.33,460.35,530.0,,,586.06,549.05
2022-08-22,2022,8,,489.84,468.6,607.07,680.0,722.0,496.72,654.0,543.33,460.53,530.0,,,586.46,546.4
2022-08-29,2022,8,,490.23,469.07,606.57,680.0,723.87,497.94,653.0,543.33,461.0,530.71,,,585.92,542.47
2022-09-05,2022,9,,490.29,470.04,606.46,680.0,720.48,498.89,650.86,543.33,461.08,531.43,,,585.37,540.48
2022-09-12,2022,9,,492.01,472.53,605.46,680.0,719.28,500.3,652.0,543.33,460.77,532.14,,,584.09,536.47
2022-09-19,2022,9,,492.97,471.2,,680.0,714.94,499.88,654.57,543.33,461.18,533.21,,,587.91,532.95
2022-09-26,2022,9,,494.74,470.76,,680.0,706.43,497.52,658.0,543.33,460.06,534.29,,,588.88,528.49
2022-10-03,2022,10,,495.73,471.45,,680.0,698.78,496.09,661.86,543.33,457.5,535.36,,,580.48,527.64
2022-10-10,2022,10,,497.31,472.64,,680.0,691.5,494.34,665.71,543.33,,536.43,,,577.47,527.76
2022-10-17,2022,10,918.45,497.33,473.46,,680.0,683.49,495.65,669.57,543.33,,536.79,,,576.85,528.7
2022-10-24,2022,10,923.68,498.49,474.32,,680.0,680.77,500.03,674.57,543.33,443.36,537.14,,,582.79,527.63
2022-10-31,2022,10,927.52,498.28,474.97,,680.0,675.43,504.13,679.0,,437.29,537.5,,,591.07,
2022-11-07,2022,11,919.58,498.69,475.78,,680.0,678.03,,682.43,,432.77,537.5,,919.37,585.37,
2022-11-14,2022,11,906.13,499.09,476.79,,680.0,675.85,,685.0,,429.51,537.14,,902.79,584.05,
2022-11-21,2022,11,905.32,498.47,476.75,,680.0,670.82,526.08,687.14,549.04,424.26,536.79,,894.2,584.45,
2022-11-28,2022,11,906.03,495.56,475.94,,680.0,668.34,531.18,689.29,549.04,421.92,536.43,,892.19,583.62,
2022-12-05,2022,12,907.59,495.13,475.91,,680.0,662.4,532.56,691.43,549.04,420.11,534.64,,892.93,584.66,
2022-12-12,2022,12,903.75,491.53,475.83,,680.0,661.47,529.77,693.57,549.04,,532.86,,893.23,579.19,
2022-12-19,2022,12,905.27,491.11,474.65,596.63,680.0,655.71,527.37,694.0,547.62,,531.07,,890.52,575.19,528.07
2022-12-26,2022,12,915.86,496.49,475.49,598.55,680.0,657.2,524.87,694.0,546.19,,529.29,,903.68,579.76,530.89
2023-01-02,2023,1,933.6,498.56,474.73,601.04,680.0,656.6,521.7,694.0,541.9,,527.86,,906.49,585.79,535.04
2023-01-09,2023,1,933.67,498.4,473.71,603.13,680.0,666.82,521.34,683.29,537.62,,526.43,,900.14,589.77,534.07
2023-01-16,2023,1,931.89,497.13,473.69,603.3,680.0,673.03,522.76,671.71,534.76,,525.0,,893.0,595.38,534.57
2023-01-23,2023,1,930.87,494.09,473.56,603.67,680.0,679.67,523.84,659.71,531.9,,525.0,,892.33,598.68,536.34
2023-01-30,2023,1,935.03,494.44,473.01,602.62,680.0,685.49,525.34,647.71,529.04,395.74,525.0,365.13,881.73,602.6,538.64
2023-02-06,2023,2,934.57,486.95,471.86,603.73,680.0,691.74,527.52,635.71,526.19,395.2,525.0,365.38,,610.44,539.7
2023-02-13,2023,2,934.17,476.1,469.71,603.82,680.0,689.0,525.79,623.29,523.33,392.81,525.0,363.5,,613.29,536.69
2023-02-20,2023,2,933.02,,469.15,602.93,680.0,688.57,526.61,610.86,523.33,393.06,525.0,360.8,855.45,611.98,532.78
2023-02-27,2023,2,931.8,466.77,467.63,601.14,680.0,682.71,526.19,609.14,522.38,393.5,525.0,357.86,855.99,612.34,532.15
2023-03-06,2023,3,932.61,467.42,465.7,601.18,680.0,679.57,521.25,608.29,521.43,396.39,525.0,362.16,851.76,612.42,534.22
2023-03-13,2023,3,932.47,469.75,462.93,601.71,680.0,685.0,520.12,608.86,520.48,399.66,525.0,361.94,852.05,618.78,533.71
2023-03-20,2023,3,931.49,468.34,460.28,602.99,680.0,682.43,520.02,609.86,519.52,402.91,525.0,362.61,867.28,619.42,531.76
2023-03-27,2023,3,927.32,472.63,459.08,601.84,680.0,685.57,520.13,610.86,518.57,406.46,525.0,361.78,878.2,613.78,530.99
2023-04-03,2023,4,931.38,477.96,458.54,598.72,680.0,685.0,521.31,612.29,517.62,409.95,525.0,363.86,885.87,607.28,533.03
2023-04-10,2023,4,930.76,480.23,457.02,598.31,680.0,687.57,522.88,614.29,516.67,412.51,525.0,366.1,879.41,606.49,533.28
2023-04-17,2023,4,931.86,481.93,457.82,599.0,680.0,688.86,523.86,617.29,516.67,,525.0,370.5,880.0,606.37,532.2
2023-04-24,2023,4,927.0,482.91,458.6,596.15,680.0,683.29,527.88,621.0,512.86,,525.0,370.51,885.13,609.13,529.58
2023-05-01,2023,5,924.42,485.87,459.1,593.82,680.0,675.0,531.06,623.71,509.05,,,368.44,878.45,605.73,528.17
2023-05-08,2023,5,920.6,487.25,459.76,591.37,680.0,670.14,530.96,626.86,505.24,,,368.27,864.24,603.95,525.95
2023-05-15,2023,5,921.77,490.22,458.49,587.8,680.0,668.29,531.13,630.43,501.43,,,368.65,850.08,602.47,524.26
2023-05-22,2023,5,913.25,489.05,455.89,585.79,680.0,669.57,529.04,634.71,497.62,,,368.32,839.57,605.23,524.06
2023-05-29,2023,5,909.48,489.35,454.79,578.92,680.0,667.29,528.16,638.43,493.81,,533.57,366.87,830.86,604.74,526.03
2023-06-05,2023,6,900.52,490.43,453.15,574.87,680.0,660.29,526.78,641.14,490.0,,535.71,364.25,818.15,605.9,526.43
2023-06-12,2023,6,898.44,489.87,450.36,568.27,680.0,670.29,525.46,643.14,490.0,,537.86,361.49,807.42,606.73,525.11
2023-06-19,2023,6,893.2,482.87,448.72,564.04,680.0,676.57,520.99,645.14,490.0,423.76,539.29,359.75,800.76,607.33,523.32
2023-06-26,2023,6,888.79,482.48,447.92,559.01,680.0,684.86,516.76,646.29,489.05,421.34,540.0,359.56,797.43,605.95,523.56
2023-07-03,2023,7,880.25,476.89,448.3,557.65,680.0,687.14,513.46,647.0,488.09,417.05,540.0,359.58,789.25,607.53,524.76
2023-07-10,2023,7,873.41,472.8,449.49,551.69,680.0,688.86,511.16,647.0,487.14,413.8,540.0,358.68,781.82,607.47,525.5
2023-07-17,2023,7,866.84,467.86,448.46,545.94,680.0,692.57,507.15,646.57,486.19,411.64,540.0,359.25,792.66,606.33,524.08
2023-07-24,2023,7,863.93,461.1,447.11,535.33,680.0,705.29,505.43,646.14,485.24,409.22,540.0,359.11,808.79,605.24,522.92
2023-07-31,2023,7,859.86,455.43,447.51,533.65,680.0,699.86,501.45,645.71,484.28,407.7,540.0,360.23,810.29,604.77,523.89
2023-08-07,2023,8,855.32,454.04,446.53,527.93,680.0,707.29,499.76,645.29,483.33,406.36,540.36,360.19,814.74,601.84,524.93
2023-08-14,2023,8,853.02,449.66,444.63,521.98,680.0,709.86,498.35,644.86,483.33,407.24,540.71,359.59,807.4,603.57,524.54
2023-08-21,2023,8,850.89,445.65,443.18,513.97,680.0,712.71,496.15,644.43,483.33,409.03,,359.65,811.86,603.31,522.78
2023-08-28,2023,8,850.98,441.28,,510.58,680.0,708.14,495.41,644.0,483.33,409.42,541.43,359.23,818.46,601.38,519.71
2023-09-04,2023,9,849.17,440.92,437.67,505.52,680.0,705.62,493.15,644.0,483.33,408.52,541.79,359.76,811.13,601.85,520.03
2023-09-11,2023,9,849.62,441.46,434.67,503.35,680.0,700.32,489.35,644.0,483.33,406.77,542.14,,791.48,600.89,521.06
2023-09-18,2023,9,849.32,444.56,433.01,498.1,680.0,704.45,489.61,644.0,483.33,404.07,542.14,,794.72,600.81,520.65
2023-09-25,2023,9,847.78,445.31,429.84,495.37,680.0,693.52,487.87,644.0,483.33,402.61,541.79,,806.38,601.54,520.86
2023-10-02,2023,10,847.33,449.99,427.58,491.79,680.0,683.1,485.61,644.0,483.33,399.39,541.43,371.49,813.85,599.89,520.2
2023-10-09,2023,10,850.55,451.49,427.83,488.3,680.0,672.73,484.93,641.71,483.33,397.26,541.07,371.2,809.18,597.45,520.02
2023-10-16,2023,10,852.22,451.41,429.08,484.67,680.0,673.13,479.07,,483.33,394.61,540.71,373.36,803.38,597.21,520.11
2023-10-23,2023,10,856.61,452.28,426.97,485.01,680.0,667.81,475.13,,483.33,394.64,540.36,374.65,798.58,594.42,518.05
2023-10-30,2023,10,854.92,452.07,427.72,483.14,680.0,664.36,470.69,634.86,483.33,392.78,540.0,372.14,800.96,591.4,517.34
2023-11-06,2023,11,855.35,448.94,425.57,481.85,680.0,659.06,465.71,632.57,483.33,392.08,540.0,373.39,793.6,591.37,515.83
2023-11-13,2023,11,860.09,447.89,427.46,477.47,680.0,663.74,462.01,630.29,483.33,390.83,540.0,373.09,776.98,590.03,514.18
2023-11-20,2023,11,858.55,439.84,427.67,474.73,680.0,663.6,455.38,628.0,483.33,389.85,540.0,371.13,779.59,587.87,513.43
2023-11-27,2023,11,853.68,440.06,425.96,474.6,680.0,663.88,450.6,628.0,,387.86,540.0,372.17,789.88,585.77,513.63
2023-12-04,2023,12,848.64,439.61,425.1,477.52,680.0,662.78,448.95,628.0,,386.52,540.0,369.57,800.74,586.6,512.73
2023-12-11,2023,12,846.81,434.73,423.21,478.17,680.0,667.62,446.05,628.0,,382.3,540.0,363.89,811.16,586.41,511.38
2023-12-18,2023,12,851.91,432.57,423.02,479.74,680.0,670.39,443.04,628.0,473.81,380.06,540.0,,825.86,589.28,509.44
2023-12-25,2023,12,853.26,431.88,424.41,475.89,680.0,672.69,440.53,628.0,471.43,376.89,540.0,357.53,840.98,586.93,509.23
2024-01-01,2024,1,854.16,430.6,422.2,480.41,680.0,667.44,439.42,627.57,469.05,376.08,540.0,353.71,854.45,589.32,508.85
2024-01-08,2024,1,858.15,433.88,421.27,483.83,680.0,675.86,442.22,620.43,466.67,376.06,540.0,350.01,860.68,591.12,508.97
2024-01-15,2024,1,865.85,435.02,419.24,481.59,680.0,678.85,442.01,,466.67,375.69,540.0,346.32,853.25,591.99,509.7
2024-01-22,2024,1,873.11,439.29,418.81,476.26,680.0,678.38,441.41,,466.67,375.9,540.0,346.1,845.48,590.74,508.89
2024-01-29,2024,1,873.72,444.72,420.87,472.98,680.0,669.61,441.39,596.29,466.67,377.08,540.0,347.88,847.64,595.75,509.0
2024-02-05,2024,2,866.93,448.32,419.06,469.37,680.0,661.95,441.13,586.86,466.67,379.16,540.0,348.8,836.16,596.78,508.16
2024-02-12,2024,2,867.55,451.21,416.57,471.75,680.0,666.18,441.5,577.43,466.67,382.53,,349.43,820.59,592.49,507.4
2024-02-19,2024,2,867.55,454.73,416.13,466.86,680.0,663.43,440.3,568.43,466.67,383.48,,351.53,808.02,587.41,507.33
2024-02-26,2024,2,867.66,457.13,415.01,463.49,680.0,657.02,439.38,566.86,466.67,384.41,,355.46,804.21,587.69,510.19
2024-03-04,2024,3,867.17,460.27,415.03,464.64,,650.76,437.62,565.71,466.67,387.92,,358.07,809.62,588.44,508.44
2024-03-11,2024,3,862.34,462.77,414.41,466.28,,648.57,438.56,565.0,466.67,391.1,528.93,359.88,813.59,592.56,509.08
